,ID,Name,Address,Rating,OpeningHour,PhoneNum,Parking,Amenities,Description,TotalCheckins,PowerLevel,NumofStation,ChargeType
0,100037,Power Pole ,"1773 East Century Boulevard, Los Angeles, CA 90002",7.6,Open 24/7 - 24/7,Parking: Free,+1 213-367-5228,"Restrooms, EV Parking, Shopping","Level 2 Charger – Map location is precise.
",33,,1,J-1772
1,10036,Crescent North,"333 N Crescent Dr , Beverly Hills, California, 90210",8.3,,,,,Parking Rates Apply,10,,4,J-1772
2,10037,Crate and Barrel,"438 N Beverly Dr , Beverly Hills, California, 90210",10,,Parking: Pay,+1 310-247-1700,Dining,"Enter parking garage on Beverly or Canon. The chargers are located straight ahead when you enter the parking garage: one on the wall (right), and one on a column (left).",41,,2,J-1772
3,100934,Culver City Westfield,"6000 Sepulveda Blvd., Culver City, CA 90230",9.3,Open 24/7,Parking: Free,,"Dining, Restrooms, Shopping, EV Parking, WiFi, Grocery","Six charging stations located at the top of the parking structure (4th level) to the right of the mall ""Dining Terrace"" entrance. Map marker location is precise.
",80,,3,J-1772
4,10106,Kimpton Hotel Palomar Los Angeles Beverly Hills,"10740 Wilshire Blvd, Los Angeles, CA 90024",,Open 24/7,Parking: Free,+1 310-475-8711,"WiFi, Shopping, Valet Parking, Dining, Restrooms, Lodging",,3,,11,J-1772
5,101364,72andSunny,"12101 Bluff Creek Drive, Los Angeles, CA, 90094",,weekdays 9am -7pm,Parking: Pay,,"WiFi, Shopping, Park, Dining, Restrooms, EV Parking",,0,,1,J-1772
6,101647,Universal Studios Hollywood - ET Parking Garage,"Universal Studios Boulevard, North Hollywood, CA 91602",10,Open 24/7,Parking: Pay,,"Dining, Restrooms, EV Parking, Park, Shopping","Pay for parking and ask to drive to the bottom level for charge. The 6.6kW charging power is split between the two plugs on each station, so pick a vacant station to get the most energy during your stay.
",39,,8,J-1772
7,10235,Pac Mutual,"544 South Grand Avenue Los Angeles, CA 90017, USA",6.7,,Parking: Free,,"Dining, Lodging, EV Parking, Restrooms",,20,,2,J-1772
8,102649,"The Standard, Hollywood","8300 Sunset Blvd, West Hollywood, CA 90069",,,Parking: Pay,+1 323-650-9090,"EV Parking, Restrooms, Shopping, Lodging, Dining","Valet only. If you buy a coffee in the restaurant and get validated, parking drops from $42 to $8.",0,16 kW,3,Tesla
9,102660,The Beverly Hilton,"9876 Wilshire Blvd, Beverly Hills, CA 90210, USA",,,Parking: Pay,,"Lodging, Dining, Restrooms, EV Parking, Shopping, Park, WiFi, Valet Parking",,0,16 kW,6,"Tesla, J-1772"
10,102771,UCLA - Parking Structure 8,"731 Westwood Plaza, Los Angeles, CA 90095, USA",6.1,,Parking: Pay,+1 310-664-5455,"Dining, Shopping, EV Parking, Restrooms","Four Level 2 chargers on far North wall on top floor (level 4) - free charging, paid parking ($12 a day) There are also 3 separate handicap only level 2 chargers on the lot for a total of 7 level 2 chargers. 
",27,,7,J-1772
11,102773,6500 Wilshire Blvd,"6500 Wilshire Boulevard, Los Angeles, CA 90048",,,Parking: Pay,,"Shopping, Restrooms, EV Parking, Dining",Office building. Charging is in underground parking.,1,,6,J-1772
12,109051,Universal Studios Hollywood - Frankenstein Parking Garage,"100 Universal City Plaza, Universal City CA 91608, United States",,Open 24/7,Parking: Pay,,"EV Parking, Valet Parking, Lodging, Dining, Shopping, Restrooms, Park",ChargePoint stations located on parking level 2 and level 7b.,2,16 kW,3,"Tesla, J-1772"
13,11078,Hotel Solaire Los Angeles,"1710 West 7th Street, Los Angeles, CA, 90017",7.5,Open 24/7,Parking: Free,+1 213-616-3000,"WiFi, Shopping, Restrooms, EV Parking, Lodging, Dining",,68,,3,J-1772
14,111224,Cal State Los Angeles - Parking Structure B,"1968-1982 Paseo Rancho Castilla, Los Angeles, CA 90032",,Open 24/7,Parking: Pay,,,4-hour max charge per day,4,,2,J-1772
15,11139,Bloom Law Building,"22130 Clarendon Street, Woodland Hills, CA, 91367",1,Open 24/7 - 24/7,Parking: Free,,,Turn into very small parking area entrance. Immediately to the left are two Blink chargers. The one on right is a fleet charger not open to the public. The one on the left is open to the public.,27,,2,J-1772
16,11140,Cherokee-Whitley Garage - Lot 670,"1710 N Cherokee Ave, Los Angeles, CA 90028",10,"Open 24/7 - Open daily, 24 hours.",Parking: Pay,+1 323-957-9211,"Dining, Restrooms, Lodging, EV Parking, Shopping, Park","Four Level 2 chargers located in the municipal parking structure, on the second floor.",82,7 kW,2,J-1772
17,111521,Crescent Park,"5710 Crescent Park E., Playa Vista, CA 90094",6.4,,Parking: Free,,"Shopping, Grocery, EV Parking, Restrooms, Park, Dining",,25,7.2 kW,2,J-1772
18,11207,Van Nuys Amtrak / LADOT Metrolink,"7724 Van Nuys Blvd., Los Angeles, CA 91405",1.2,Open 24/7 - Open Parking Lot,Parking: Free,+1 866-816-7584,"Shopping, Grocery, EV Parking, Restrooms, Dining",EVConnect stations,193,3 kW,5,J-1772
19,11267,USC Information Sciences Institute,"4676 Admiralty Way, Marina Del Rey, CA 90292",7.9,Open 24/7 - 24/7,,+1 310-822-1511,,"Enter parking from northbound Admiralty Way, on the north side of the building. After passing through the ticket machine, turn left into the parking structure. The charging station is located on the first level next to the pay station and stairs, facing Lincoln Blvd. The parking spaces are marked ""EV1"" and ""EV2."" ChargePoint RFID card required.",21,,1,J-1772
20,112773,Power Pole ,"579 W 9th St, San Pedro, CA 90731",5.1,Open 24/7 - 24/7,Parking: Free,+1 213-367-5228,"Dining, Shopping","Tellus Power Level 2 located curbside on eastbound 9th St. courtesy of LADWP! Map marker location is precise.
",32,,1,J-1772
21,113089,1900 Avenue of the Stars,"1900 Avenue of the Stars, Los Angeles CA 90067, United States",,,Parking: Pay,,"Dining, Restrooms",Four ChargePoint chargers in building parking level A.,4,,4,J-1772
