,ID,Name,Address,Rating,OpeningHour,PhoneNum,Parking,Amenities,Description,TotalCheckins,PowerLevel,NumofStation,ChargeType,Lat,Lon,No_of_Visit
0,100354,Kathy Elton Consulting (Coming Soon),"167 E Vine St, Murray UT 84107, United States",9.6,,Parking: Free,+1 801-230-8437,,Level 2 charging station located on west side of back door. Please text the owner at (801) 230-8437 when using. Please only park in one parking spot as business parking is limited. If cars are parked in front of charging station you can pull up behind them and charge but DO NOT leave car unattended as you may need to move if a client is ready to leave.,26,,1,J-1772,40.6639996,-111.8886268,26
1,10135,Utah Division of Air Quality,"195 N. 1950 W., Salt Lake City, UT 84114",10,Open 24/7 - Office hours: Mon. - Fri.: 8 a.m. - 5 p.m.,Parking: Free,+1 801-536-4400,,"These are free for public use. 10 level 2 connectors (J1772) are located in the south parking lot facing I-215. The Level 3 (CHAdeMo and CCS) connectors are located at the SE corner of the building. Parking while actively charging only. Lot is always open, no gate.",86,62.5 kW,5,"CCS/SAE, CHAdeMO, J-1772",40.7747298,-111.9500649,50
2,101621,Home2 Suites,"2350 Foothill Dr, Salt Lake City UT 84109, United States",10,,Parking: Free,,"Lodging, Dining","I-80 exit 129. One J1772, two Tesla plugs. For guests but open to public if you need a charge.",39,8 kW,4,"Tesla, J-1772, Wall",40.7202511,-111.8138238,39
3,102807,Hyatt Place,"3700 Outlet Pkwy, Lehi UT 84043, United States",10,,Parking: Free,,"Lodging, EV Parking, WiFi, Restrooms, Dining",I-15 exit 284.,47,,1,J-1772,40.432424,-111.8837388,47
4,103769,Solutionreach Inc,"2600 Ashton Blvd, Lehi, UT 84043",9,,Parking: Free,,"Park, EV Parking","Three dual-port ChargePoint stations with free charging, at SW corner of the building.",5,,3,J-1772,40.4214563,-111.8890952,5
5,103869,Salt Lake City Public Library,"210 E 400 S, Salt Lake City UT 84111, United States",9,???,Parking: Pay,,"Park, WiFi, Restrooms, Dining",Underground station; cell reception may be limited. Need ChargePoint card to initiate. 4 hour limit.,5,,3,J-1772,40.7599247,-111.8870842,5
6,104030,Liberty Park,"520 East, Salt Lake City, UT 84105",9.6,Closes at 11pm,,,"EV Parking, Park, WiFi, Dining, Restrooms","Two Stations, Four ports
",60,,2,J-1772,40.7452384,-111.8786381,50
7,108143,Broadway Parking/Charging,"55 Broadway, Salt lake city, UT 841110",7,Open 24/7,Parking: Free,,"Dining, Shopping","One Station, Two ports
",39,,1,J-1772,40.7624319,-111.8952211,39
8,109045,Main St Parking,"157 S Main St, Salt Lake City UT 84101, United States",4,???,Parking: Free,,"Dining, Shopping, Lodging","in front of Boulangerie. One dual-port Station, 2 Hour Limit.",72,,1,J-1772,40.765673,-111.8928407,50
9,109578,Riverton Chevrolet,"257 11000 South, South Jordan, UT 84095",,Open 24/7,Parking: Free,+1 801-988-5369,"EV Parking, Restrooms, Shopping",I-15 exit 293. Bosch dual plug pedestal. Non-customers call ahead to confirm permission to charge.,3,,2,J-1772,40.551025,-111.90122,3
