Date,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7
2016/Jan,52,6,9,0,0,0,26
2016/Feb,43,21,3,0,1,0,17
2016/Mar,30,23,3,0,3,1,20
2016/Apr,30,20,2,0,2,1,27
2016/May,32,30,6,0,2,2,20
2016/Jun,35,19,3,1,2,1,25
2016/Jul,41,10,3,0,2,0,26
2016/Aug,43,24,2,1,3,2,35
2016/Sep,57,41,9,1,5,0,13
2016/Oct,35,30,2,1,3,3,17
2016/Nov,37,25,3,1,1,1,16
2016/Dec,36,21,6,5,9,1,31
2017/Jan,38,24,5,6,11,2,21
2017/Feb,54,15,7,2,6,2,25
2017/Mar,57,12,6,2,7,3,32
2017/Apr,43,19,11,3,8,6,24
2017/May,63,30,11,2,7,2,30
2017/Jun,71,16,11,3,7,4,26
2017/Jul,65,13,11,6,4,6,44
2017/Aug,59,26,9,11,11,6,39
2017/Sep,69,22,5,5,8,3,28
2017/Oct,63,16,10,3,9,5,40
2017/Nov,54,29,16,14,18,3,26
2017/Dec,63,22,15,4,20,4,33
2018/Jan,71,27,16,7,7,5,34
2018/Feb,48,39,19,10,11,7,42
2018/Mar,58,48,20,11,11,7,51
2018/Apr,67,41,25,9,7,3,49
2018/May,85,53,17,4,12,13,42
2018/Jun,81,43,37,2,13,15,65
2018/Jul,91,26,26,6,14,9,64
2018/Aug,110,33,30,4,10,10,61
2018/Sep,93,37,37,13,12,13,48
2018/Oct,75,41,44,6,16,7,65
2018/Nov,91,49,27,7,26,12,68
2018/Dec,105,48,23,7,29,15,80
2019/Jan,127,61,40,27,29,11,79
2019/Feb,77,63,30,14,21,16,62
2019/Mar,103,64,25,14,29,13,72
2019/Apr,124,48,31,6,32,9,57
2019/May,98,68,39,9,41,4,86
2019/Jun,125,43,50,7,26,15,90
2019/Jul,124,84,45,10,44,13,93
2019/Aug,128,119,68,12,37,13,107
2019/Sep,119,92,46,13,40,12,88
2019/Oct,130,76,46,24,29,14,101
2019/Nov,107,83,30,22,32,16,123
2019/Dec,116,86,56,19,20,10,111
2020/Jan,177,134,44,22,28,18,140
2020/Feb,134,90,43,19,25,8,132
