Date,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9
2016/Jan,0,0,0,0,0,0,0,0,14
2016/Feb,0,0,0,3,0,0,1,0,13
2016/Mar,0,0,0,2,0,0,5,0,25
2016/Apr,0,1,0,4,0,0,8,0,14
2016/May,0,1,0,1,0,0,6,0,13
2016/Jun,0,0,0,6,0,0,5,0,25
2016/Jul,0,1,0,1,0,0,8,0,24
2016/Aug,0,2,0,1,0,0,5,0,26
2016/Sep,0,0,0,4,0,0,1,0,24
2016/Oct,0,0,0,3,0,0,2,0,18
2016/Nov,0,0,0,0,0,0,2,0,16
2016/Dec,0,2,0,1,0,0,2,0,27
2017/Jan,0,0,0,2,0,0,2,0,25
2017/Feb,0,1,0,3,0,0,3,0,26
2017/Mar,0,0,0,10,0,0,4,0,28
2017/Apr,0,0,0,28,0,0,5,0,36
2017/May,1,5,0,16,0,0,5,0,33
2017/Jun,0,2,0,16,0,0,5,0,33
2017/Jul,0,0,0,18,0,0,6,0,35
2017/Aug,3,0,0,8,0,0,4,0,42
2017/Sep,0,4,0,5,0,0,12,1,47
2017/Oct,2,0,0,6,0,0,2,1,40
2017/Nov,1,0,0,4,0,0,2,0,28
2017/Dec,0,0,0,13,0,0,3,0,17
2018/Jan,0,0,0,23,0,0,2,0,22
2018/Feb,1,1,0,9,0,0,2,1,25
2018/Mar,4,3,4,15,0,0,4,1,45
2018/Apr,1,0,2,11,0,0,2,0,53
2018/May,2,5,4,23,0,0,9,3,61
2018/Jun,3,0,2,30,0,0,8,3,58
2018/Jul,2,1,4,16,0,0,7,5,78
2018/Aug,3,4,3,21,5,1,9,1,61
2018/Sep,3,3,3,13,0,1,11,9,74
2018/Oct,12,3,4,28,4,1,21,5,100
2018/Nov,3,3,6,25,0,0,17,6,106
2018/Dec,2,8,8,19,5,0,20,5,118
2019/Jan,0,6,3,23,1,0,10,1,115
2019/Feb,2,1,1,27,0,0,14,7,109
2019/Mar,3,1,3,12,1,1,9,5,119
2019/Apr,1,9,5,17,3,0,9,4,117
2019/May,4,15,11,23,5,1,26,9,125
2019/Jun,3,13,9,39,3,3,26,11,145
2019/Jul,16,15,6,65,3,0,20,13,181
2019/Aug,6,17,6,54,0,4,20,20,153
2019/Sep,10,26,7,45,5,2,17,22,172
2019/Oct,7,27,15,26,4,1,25,24,153
2019/Nov,3,23,9,33,0,1,22,18,117
2019/Dec,10,12,14,33,2,2,23,20,192
2020/Jan,4,4,10,34,3,1,9,5,150
2020/Feb,0,5,5,44,2,0,18,6,148
