ID,Status,Number_of_port,location,Lat,Lon,Address
0,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.8370468,-111.9129727,16z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x2ba045b17f73f948!8m2!3d40.8356819!4d-111.9117674",40.8356819,-111.9117674,"325 S Orchard Dr, North Salt Lake, UT 84054"
1,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.8214257,-111.9234221,13.75z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x1bea9eb327933874!8m2!3d40.8159448!4d-111.9482589",40.8159448,-111.9482589,"2280 Rose Park Ln, Salt Lake City, UT 84116"
2,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7744475,-111.9466761,20z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f47132dbfd43:0xb7fa88914eac4abf!8m2!3d40.77421!4d-111.9462197",40.77421,-111.9462197,"210 N 1950 W, Salt Lake City, UT 84134"
3,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7735214,-111.9467316,18.75z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f4772cbd1f25:0x3a4e33a6d17b1069!8m2!3d40.7730999!4d-111.9463699",40.7730999,-111.9463699,"168 N 1950 W, Salt Lake City, UT 84116"
4,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7734465,-111.947848,18.75z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f476fca52925:0x1b517709745dded7!8m2!3d40.77327!4d-111.9485801",40.77327,-111.9485801,"1990 W North Temple, Salt Lake City, UT 84116"
5,A,6,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7743863,-111.9479224,18.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f476834ee7df:0xaa66817490f89fc0!8m2!3d40.7751732!4d-111.9485553",40.7751732,-111.9485553,"195 N 1950 W, Salt Lake City, UT 84116"
6,U,6,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7741163,-111.9476796,18.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xf01d63aa970f0c5!8m2!3d40.7737989!4d-111.9475571",40.7737989,-111.9475571,"240 N 1950 W, Salt Lake City, UT 84116"
7,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7691029,-111.9895037,14.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x94e468226d62b1b7!8m2!3d40.7742003!4d-111.9815987",40.7742003,-111.9815987,"775 N Terminal Dr, Salt Lake City, UT 84114"
8,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7784042,-111.9820378,17z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f3c412b56a73:0x1c8fbcd0b1053922!8m2!3d40.7794305!4d-111.9828916",40.7794305,-111.9828916,"475 North S 3820 W, Salt Lake City, UT 84114"
9,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.782824,-111.9848944,19z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f3dad2e77ccb:0x4c92cb505ce87b90!8m2!3d40.7825851!4d-111.9856301",40.7825851,-111.9856301,"3701 Terminal Dr, Salt Lake City, UT 84122"
10,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.782824,-111.9848944,19z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f3dad5e6c06d:0x473ffd95f8f27b51!8m2!3d40.7828898!4d-111.9851151",40.7828898,-111.9851151,"3701 Terminal Dr, Salt Lake City, UT 84122"
11,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.782824,-111.9848944,19z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f3db3528b515:0xa532b0509edb9a23!8m2!3d40.7829248!4d-111.9837123",40.7829248,-111.9837123,"1 Terminal Dr, Salt Lake City, UT 84116"
12,A,10,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.782832,-111.9845842,20.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f3db3284764f:0xf37242bf7d1a7210!8m2!3d40.782906!4d-111.9842702",40.782906,-111.9842702,"3701 Terminal Dr, Salt Lake City, UT 84104"
13,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.782832,-111.9845842,20.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f3c4cd4b22db:0xe844c882ac23ef9b!8m2!3d40.7827872!4d-111.9842152",40.7827872,-111.9842152,"3701 Terminal Dr, Salt Lake City, UT 84122"
